Adm_Year,Gender,Age,HSC_Pass_Year,Program,Merit_Scholarship,Uni_Transport,Learn_Mode,Smartphone,PC,Eng_Proficiency,Probation,Suspension,Do you attend in teacher consultancy for any kind of academical problems? ,Relationship,CoCurricular,Living_Arrangement,Health_Issues,Physical_Disabilities,Target,Curr_Sem1,Study_Hours1,Study_Sessions1,SM_Hours1,Avg_Attendance1,Skills1,Skill_Dev_Hours1,Interest_Area1,Prev_SGPA1,Curr_CGPA1,Completed_Credits1,Diploma,Family_Income1
2017,Male,22,2017,BCSE,Yes,No,Offline,Yes,Yes,Advance,Yes,No,Yes,Single,No,Bachelor,Yes,No,Poor,5,1.5,2,4,100,"Programming, Software Development",4,Data Science,2.6,2.6,90,FALSE,20000
2019,Female,22,2018,BCSE,No,Yes,Offline,Yes,Yes,Intermediate,No,No,Yes,Married,No,Family,Yes,No,Average,11,3,2,3,95,Networking,2,Software,2.7,2.91,120,FALSE,150000
2018,Male,23,2017,BCSE,No,No,Online,Yes,Yes,Intermediate,Yes,Yes,Yes,Single,Yes,Family,No,No,Average,14,2,2,1,90,"Programming, Software Development",2,Machine Learning / Deep Learning,2.87,2.99,120,FALSE,30000
2019,Male,23,2018,BCSE,No,Yes,Offline,Yes,Yes,Intermediate,No,No,No,In a relationship,Yes,Family,Yes,No,Poor,9,1,1,1,70,"Web development skill(Backend),",1,UI/UX,2.7,2.92,76,FALSE,15000
2018,Female,23,2016,BCSE,No,Yes,Offline,Yes,Yes,Basic,Yes,No,No,Single,No,Bachelor,Yes,Yes,Poor,14,3.5,2,1,70,"Programming, Networking",2,Hardware,2.98,2.96,118,FALSE,20000
2019,Male,22,2019,BCSE,No,No,Offline,Yes,Yes,Intermediate,No,No,No,Single,No,Bachelor,No,No,Average,9,3,4,2,99,"Programming, Web development",7,Web Development,3.52,2.9,100,FALSE,15000
2022,Male,23,2018,BCSE,Yes,Yes,Offline,Yes,Yes,Intermediate,No,No,Yes,Single,Yes,Bachelor,No,No,Average,8,4,2,3,100,Programming,2,Software,3.48,3.08,68,FALSE,20000
2018,Male,25,2016,BCSE,No,No,Online,Yes,Yes,Advance,Yes,No,Yes,Single,Yes,Family,No,No,Poor,14,6,4,2,25,"Programming, Software Development",4,Software,3.16,2.68,121,FALSE,60000
2021,Female,21,2019,BCSE,No,No,Offline,Yes,Yes,Basic,Yes,No,Yes,Married,No,Family,No,No,Poor,5,2.5,3,1,87,Programming,1,UI/UX,1.92,2.42,39,FALSE,60000
2019,Male,23,2018,BCSE,No,Yes,Offline,Yes,Yes,Intermediate,No,No,Yes,Single,No,Bachelor,No,No,Good,11,5,5,3,90,Networking,2,Networking,3.29,3.23,114,FALSE,28000
2019,Female,22,2018,BCSE,No,Yes,Offline,Yes,Yes,Basic,Yes,No,No,Married,No,Bachelor,Yes,No,Poor,9,3,1,5,80,Programming,3,Software,2,2.22,77,FALSE,4000
2019,Female,21,2018,BCSE,No,No,Offline,Yes,Yes,Intermediate,Yes,No,Yes,Single,No,Bachelor,Yes,No,Average,10,5.5,1,3,80,Programming,2,Data Science,3.3,3.24,105,FALSE,80000
2019,Male,21,2018,BCSE,No,No,Online,Yes,Yes,Intermediate,No,No,Yes,Single,No,Bachelor,No,No,Poor,9,1.5,2,3,90,"Programming, Web development",6,Data Science,3.01,2.76,79,FALSE,65000
