Adm_Year,Gender,Age,HSC_Pass_Year,Program,Merit_Scholarship,Uni_Transport,Learn_Mode,Smartphone,PC,Eng_Proficiency,Probation,Suspension,Do you attend in teacher consultancy for any kind of academical problems? ,Relationship,CoCurricular,Living_Arrangement,Health_Issues,Physical_Disabilities,Target,Curr_Sem1,Study_Hours1,Study_Sessions1,SM_Hours1,Avg_Attendance1,Skills1,Skill_Dev_Hours1,Interest_Area1,Prev_SGPA1,Curr_CGPA1,Completed_Credits1,Diploma,Family_Income1
2021,Female,21,2020,BCSE,Yes,Yes,Online,Yes,No,Intermediate,No,No,Yes,Single,No,Family,Yes,No,Poor,5,3.5,2,10,70,Programming,3,Software,2.8,2.9,40,FALSE,500000
2021,Male,21,2020,BCSE,Yes,No,Online,Yes,Yes,Basic,No,No,Yes,Single,No,Family,No,No,Good,3,2,2,3,90,Programming,1,Software,3.42,3.56,23,FALSE,50000
2021,Male,20,2020,BCSE,Yes,No,Offline,Yes,Yes,Basic,No,No,No,Single,No,Bachelor,No,No,Poor,2022,3.5,2,3,85,Programming,1,Software,2.49,3.03,25,FALSE,40000
2021,Female,19,2020,BCSE,No,Yes,Offline,Yes,Yes,Intermediate,No,No,Yes,Single,No,Family,No,No,Good,3,2,1,3,95,Programming,1,Data Science,4.59,4.67,23,FALSE,100000
2021,Female,22,2017,BCSE,Yes,Yes,Offline,Yes,Yes,Intermediate,No,No,Yes,Single,No,Family,Yes,No,Good,5,3,2,2,90,Programming,1,Software,3.86,3.67,49,FALSE,20000
2022,Male,20,2020,BCSE,Yes,Yes,Offline,Yes,Yes,Advance,No,No,Yes,Single,No,Family,No,No,Poor,1,3.5,1,1,100,Programming,1,Data Science,0,0,0,FALSE,30000
2021,Male,21,2020,BCSE,Yes,Yes,Online,Yes,Yes,Intermediate,No,No,No,Single,Yes,Family,No,No,Good,5,6,3.5,2,90,"Programming, Software Development",2,Machine Learning / Deep Learning,3.82,3.7,55,FALSE,50000
2021,Male,21,2019,BCSE,Yes,No,Online,Yes,Yes,Intermediate,No,No,Yes,Single,No,Family,No,No,Average,3,2,1,2,75,"Programming, Designing(Photoshop), video",1,Data Science,3.58,3.1,23,FALSE,40000
2021,Male,21,2020,BCSE,No,No,Offline,Yes,Yes,Intermediate,No,No,Yes,Single,No,Bachelor,No,No,Average,5,5.5,2,2,98,Programming,2,Software,2.57,2.8,45,FALSE,30000
2021,Male,22,2020,BCSE,Yes,No,Offline,Yes,Yes,Advance,No,No,Yes,Single,Yes,Bachelor,Yes,No,Excellent,3,5,2,2,95,"Programming, Mentoring",2,Data Science,3.86,3.92,23,FALSE,40000
2022,Male,22,2019,BCSE,No,No,Offline,Yes,Yes,Intermediate,No,No,Yes,Single,Yes,Bachelor,No,No,Poor,2,3,1,3,80,Programming,1,UI/UX,4,0,11,FALSE,40000
2020,Male,23,2018,BCSE,No,No,Online,Yes,Yes,Intermediate,Yes,No,No,Single,Yes,Bachelor,No,No,Average,6,1,2,2,90,Programming,1,Data Science,3.1,3.4,65,FALSE,40000
2021,Male,20,2020,BCSE,Yes,No,Offline,Yes,Yes,Basic,No,No,Yes,Single,No,Family,Yes,No,Average,3,1,2,1,95,Programming,1,Networking,3.68,3.65,24,FALSE,45000
2022,Female,21,2020,BCSE,Yes,Yes,Offline,Yes,Yes,Basic,No,No,Yes,Single,No,Family,No,No,Poor,2,7,2,3,2,Programming,0,Software,3.4,3.4,11,FALSE,40000
2021,Male,20,2020,BCSE,Yes,Yes,Offline,Yes,Yes,Advance,No,No,Yes,Single,No,Family,Yes,No,Poor,3,4,2,2,70,Programming,2,Artificial Intelligence,2.45,2.95,25,FALSE,50000
2015,Female,25,2015,BCSE,No,Yes,Offline,Yes,Yes,Intermediate,Yes,No,Yes,Married,No,Family,No,No,Poor,14,2.5,2,3,80,Software Development skill,1,Software,2.4,2.89,130,FALSE,25000
2021,Female,20,2020,BCSE,Yes,Yes,Offline,Yes,Yes,Intermediate,No,No,Yes,Married,Yes,Family,No,No,Good,3,4.5,2,1,99,Programming,3,Software,3.47,3.2,23,FALSE,50000
2019,Male,21,2018,BCSE,No,Yes,Offline,Yes,Yes,Intermediate,No,No,No,Single,No,Bachelor,No,No,Average,11,1,1,1,100,"Programming, Web development",1,Networking,2.53,3.05,115,FALSE,37000
2021,Female,23,2019,BCSE,Yes,Yes,Offline,Yes,No,Basic,Yes,No,Yes,Single,Yes,Family,Yes,No,Poor,3,1,1,3,100,Photographey,1,Software,2.56,2.72,26,FALSE,45000
2020,Male,20,2019,BCSE,No,No,Online,Yes,Yes,Basic,Yes,No,No,Single,Yes,Family,No,No,Poor,7,2.5,2,1,80,I do not,2,Data Science,2.36,2.56,65,FALSE,35000
2021,Female,20,2020,BCSE,Yes,Yes,Online,Yes,Yes,Intermediate,No,No,Yes,Single,No,Bachelor,No,Yes,Poor,3,2.5,2,1,90,Programming,1,Networking,3.19,2.73,24,FALSE,40000
2019,Female,22,2018,BCSE,No,Yes,Offline,Yes,Yes,Basic,No,No,No,Single,No,Family,No,No,Average,11,6,3,2,98,Programming,2,Machine Learning / Deep Learning,3.1,3.07,107,FALSE,60000
2021,Male,21,2020,BCSE,Yes,No,Offline,Yes,Yes,Intermediate,No,No,No,Single,Yes,Bachelor,No,No,Average,3,4.5,2,5,95,Programming,2,Networking,3.28,3,25,FALSE,70000
2022,Female,21,2020,BCSE,Yes,Yes,Offline,Yes,Yes,Basic,No,No,No,Single,No,Family,No,No,Poor,1,1.5,2,2,100,Programming,0,Software,0,0,11,FALSE,35000
2022,Male,20,2020,BCSE,Yes,No,Offline,Yes,Yes,Basic,No,No,Yes,Single,Yes,Bachelor,No,No,Good,2,5,2,3,90,"Programming, Cyber security,",1,Networking,3.6,3.6,14,FALSE,10000
2021,Female,21,2019,BCSE,Yes,No,Offline,Yes,Yes,Intermediate,No,No,Yes,Single,No,Bachelor,No,No,Good,3,3.5,1,1,90,"Programming, Web development",1,Networking,3.75,3.7,24,FALSE,50000
2021,Male,20,2020,BCSE,No,No,Online,Yes,Yes,Intermediate,No,No,No,Single,Yes,Family,No,No,Average,4,1,1,3,90,"Programming, Web development",2,Machine Learning / Deep Learning,3.85,3.92,34,FALSE,40000
2021,Female,20,2019,BCSE,Yes,Yes,Offline,Yes,Yes,Basic,No,No,No,Single,No,Family,No,No,Poor,8,3.5,2,2,90,Programming,1,Machine Learning / Deep Learning,2.68,2.68,23,FALSE,100000
2021,Female,21,2020,BCSE,Yes,No,Online,Yes,Yes,Intermediate,No,No,Yes,Single,No,Bachelor,No,No,Average,2,3,2,1,99,Programming,3,Software,3.18,3.18,11,FALSE,20000
2019,Female,24,2018,BCSE,Yes,No,Offline,Yes,Yes,Intermediate,No,No,Yes,Married,No,Family,No,No,Good,11,2,1,1,90,Web development skill(Frontend),2,Data Science,3.39,3.4,128,TRUE,5000
2021,Female,20,2020,BCSE,No,No,Online,Yes,Yes,Intermediate,No,No,Yes,Single,No,Bachelor,Yes,No,Good,22,3.5,1,4,100,Programming,1,Software,2.98,3.38,25,FALSE,60000
2021,Female,21,2020,BCSE,No,No,Offline,Yes,Yes,Intermediate,Yes,No,No,Single,No,Family,No,No,Good,2,9,2,3,97,Programming,5,Software,3.7,3.39,23,FALSE,50000
2018,Female,23,2017,BCSE,No,Yes,Offline,Yes,Yes,Advance,Yes,No,Yes,Married,No,Family,No,No,Average,14,1,2,2,80,Programming,2,Machine Learning / Deep Learning,3.25,2.95,130,FALSE,40000
2021,Male,19,2020,BCSE,No,Yes,Online,Yes,Yes,Basic,No,No,No,Single,No,Family,No,No,Good,3,2.5,1,3,95,Programming,1,Software,3.03,3.21,25,FALSE,30000
2021,Female,22,2020,BCSE,No,No,Offline,Yes,Yes,Intermediate,No,No,No,Single,No,Bachelor,No,No,Average,5,2,2,3,95,Programming,1,Software,3.1,3.18,48,FALSE,50000
2022,Female,21,2020,BCSE,Yes,Yes,Offline,Yes,Yes,Intermediate,No,No,Yes,Single,No,Family,No,No,Good,2,2,1,3,98,Programming,1,Artificial Intelligence,3.7,3.7,12,FALSE,120000
2022,Male,21,2020,BCSE,Yes,Yes,Offline,Yes,Yes,Intermediate,Yes,No,Yes,Single,Yes,Family,No,No,Poor,2,9,8,6,70,Programming,4,Software,4,4,12,FALSE,30000
2021,Male,19,2020,BCSE,Yes,Yes,Offline,Yes,Yes,Intermediate,No,No,Yes,Single,Yes,Bachelor,No,No,Average,3,1.5,2,2,85,"Programming, Software Development",1,Software,3.18,3.45,23,FALSE,40000
2021,Female,19,2020,BCSE,Yes,Yes,Offline,Yes,Yes,Basic,No,No,Yes,Single,No,Family,No,No,Good,3,3,2,3,100,Programming,1,Software,3.61,3.74,25,FALSE,40000
2021,Male,22,2017,BCSE,Yes,No,Online,Yes,Yes,Intermediate,No,No,No,Single,No,Family,No,No,Poor,3,2,1,0,70,Programming,1,Machine Learning / Deep Learning,3.01,3.22,23,FALSE,70000
2021,Female,21,2020,BCSE,No,Yes,Offline,Yes,Yes,Basic,No,No,No,Single,No,Family,Yes,No,Average,3,2,2,5,80,Programming,2,Artificial Intelligence,3.26,3.36,23,FALSE,40000
2016,Male,25,2016,BCSE,Yes,No,Offline,Yes,Yes,Intermediate,No,No,No,Single,Yes,Bachelor,No,No,Average,19,1,1,2,100,"Web development skill(Frontend),",2,Data Science,3.6,3.72,130,FALSE,300000
2021,Male,20,2019,BCSE,No,No,Offline,Yes,Yes,Basic,No,No,No,Single,No,Bachelor,Yes,No,Average,3,2,3,3,100,Programming,2,Artificial Intelligence,3.12,3.01,23,FALSE,50000
2022,Female,20,2020,BCSE,Yes,No,Offline,Yes,Yes,Basic,No,No,Yes,Single,Yes,Bachelor,No,No,Excellent,1,4,2,2,100,Software Development skill,2,Networking,5,3.93,11,FALSE,50000
2021,Male,20,2020,BCSE,Yes,No,Online,Yes,Yes,Advance,Yes,No,No,Single,Yes,Bachelor,No,No,Poor,3,5.5,2,6,95,Programming,1,Artificial Intelligence,3,3.55,23,FALSE,150000
2019,Male,24,2018,BCSE,No,No,Online,Yes,Yes,Basic,Yes,No,Yes,Single,Yes,Family,No,No,Poor,9,1,2,3,95,"Programming, Web development",20,Data Science,1.61,2.44,40,FALSE,25000
2020,Male,22,2018,BCSE,Yes,Yes,Online,Yes,Yes,Basic,No,No,No,Single,No,Family,No,No,Average,6,1,1,3,80,Web development skill(Frontend),1,Software,2.79,3.15,50,FALSE,40000
2021,Female,22,2020,BCSE,No,No,Offline,Yes,No,Intermediate,No,No,No,Single,No,Bachelor,No,No,Good,22,2,1,3,98,Programming,2,Software,3.83,3.4,25,FALSE,40000
2018,Male,26,2018,BCSE,Yes,Yes,Online,Yes,Yes,Advance,No,No,Yes,Single,No,Family,No,No,Good,12,3,1,2,100,"Web development skill(Frontend),",3,Networking,3.58,3.27,130,TRUE,25000
2021,Female,21,2020,BCSE,Yes,Yes,Offline,Yes,Yes,Basic,No,No,Yes,Single,No,Family,No,No,Average,3,3.5,1,4,100,Web development skill(Backend),2,Networking,3.39,3.19,25,FALSE,70000
2021,Male,20,2020,BCSE,Yes,No,Offline,Yes,Yes,Intermediate,No,No,No,Single,No,Bachelor,No,No,Good,3,3.5,2,2,100,"Programming, Web development",2,Networking,3.38,3.37,23,FALSE,25000
2021,Female,19,2020,BCSE,Yes,No,Offline,Yes,Yes,Intermediate,No,No,Yes,Single,No,Bachelor,Yes,No,Average,3,3.5,2,1,100,Web development skill(Backend),1,Data Science,3.03,3.15,23,FALSE,30000
2021,Male,21,2020,BCSE,Yes,Yes,Offline,Yes,Yes,Intermediate,No,No,Yes,Single,Yes,Family,No,No,Average,3,1.5,1,1,95,Programming,2,Networking,3.65,3.7,25,FALSE,40000
2019,Female,22,2019,BCSE,No,Yes,Offline,Yes,Yes,Intermediate,No,No,Yes,Single,No,Family,Yes,No,Poor,9,3.5,1,2,80,Web development skill(Frontend),1,Machine Learning / Deep Learning,3.18,2.69,80,FALSE,30000
2022,Male,21,2020,BCSE,Yes,Yes,Offline,Yes,Yes,Basic,No,No,Yes,Single,Yes,Family,No,No,Good,2,3,2,2,100,Programming,2,Networking,3.78,3.39,11,FALSE,30000
2020,Male,24,2017,BCSE,Yes,Yes,Offline,Yes,Yes,Intermediate,No,No,No,In a relationship,Yes,Family,No,No,Poor,8,1,1,4,70,"Programming, Mechine Learning",3,Data Science,2.56,3.38,90,FALSE,30000
2021,Male,20,2020,BCSE,Yes,No,Offline,No,Yes,Basic,No,No,No,Single,No,Family,Yes,No,Poor,3,2,2,12,90,learner,0,Data Science,2.94,3.1,24,FALSE,45000
2021,Female,19,2020,BCSE,No,No,Offline,Yes,Yes,Intermediate,Yes,No,Yes,Single,No,Family,No,No,Poor,3,3.5,2.5,4,100,Programming,2,Networking,2.36,2.88,23,FALSE,80000
2022,Male,21,2021,BCSE,Yes,No,Online,Yes,No,Intermediate,No,No,Yes,Single,No,Family,No,No,Average,2,3,2,5,100,Programming,2,Software,3.8,3.8,11,FALSE,30000
2021,Male,22,2020,BCSE,Yes,No,Offline,Yes,Yes,Basic,Yes,No,No,Single,No,Bachelor,No,No,Poor,3,0,0,15,80,Programming,0,Software,1.53,2.43,23,FALSE,30000
2020,Female,21,2019,BCSE,No,Yes,Online,Yes,Yes,Intermediate,No,No,Yes,In a relationship,No,Family,No,No,Average,7,2.5,2,5,80,"Programming, Web development",3,UI/UX,3,2.91,90,FALSE,35000
2021,Female,20,2020,BCSE,No,Yes,Offline,Yes,No,Basic,No,No,Yes,Single,Yes,Family,No,No,Poor,3,2,1,5,80,Programming,1,Software,2.32,2.66,23,FALSE,40000
2021,Female,21,2019,BCSE,Yes,No,Offline,Yes,Yes,Advance,No,No,Yes,In a relationship,Yes,Family,Yes,No,Poor,3,0,0,12,50,No skill,0,Networking,3.37,3.39,85,FALSE,20000
2021,Female,22,2020,BCSE,Yes,No,Offline,Yes,Yes,Intermediate,No,No,Yes,Single,Yes,Bachelor,Yes,No,Average,3,2,1,3,100,Web development skill(Backend),1,Machine Learning / Deep Learning,2.89,3.37,24,FALSE,50000
2021,Female,21,2019,BCSE,Yes,Yes,Offline,Yes,Yes,Basic,No,No,No,Single,No,Family,No,No,Good,3,2,3,2,90,Programming,2,Software,3.17,3.39,24,FALSE,40000
2021,Female,20,2020,BCSE,Yes,Yes,Offline,Yes,Yes,Basic,Yes,No,No,Single,No,Family,Yes,No,Poor,3,2,2,5,100,Programming,2,Software,2.26,2.31,20,FALSE,35000
2022,Female,21,2020,BCSE,Yes,No,Offline,Yes,Yes,Basic,No,No,No,Single,No,Bachelor,No,No,Good,2,5,2,2,99,Programming,1,Networking,3.65,3.65,12,FALSE,35000
2021,Female,22,2019,BCSE,Yes,Yes,Offline,Yes,Yes,Intermediate,No,No,Yes,Single,No,Family,No,No,Average,3,2.5,1,5,96,Programming,2,Machine Learning / Deep Learning,3.03,3.02,25,FALSE,49000
2020,Male,22,2018,BCSE,Yes,Yes,Offline,Yes,Yes,Basic,No,No,Yes,Single,No,Bachelor,Yes,No,Average,2022,2.5,2,4,80,"Web development skill(Backend),",0,Data Science,3.93,3.44,53,FALSE,15000
2019,Female,22,2018,BCSE,No,Yes,Offline,Yes,Yes,Advance,No,No,Yes,Single,Yes,Family,No,No,Average,9,4,3,2,80,Programming,2,Data Science,3,3.09,105,FALSE,2000000
2022,Female,20,2021,BCSE,Yes,Yes,Offline,Yes,Yes,Basic,No,No,Yes,Single,No,Family,No,No,Poor,1,2,2,3,98,"Programming, Software Development",0,Networking,0,0,0,FALSE,20000
2022,Male,20,2020,BCSE,Yes,Yes,Offline,Yes,Yes,Basic,No,No,Yes,Single,Yes,Bachelor,No,No,Good,2,8,4,2,95,Programming,2,"Software, Hardware",3.45,3.45,11,FALSE,30000
2021,Female,21,2020,BCSE,Yes,Yes,Offline,Yes,Yes,Basic,No,No,Yes,Single,No,Family,No,No,Average,3,3.5,2,1,100,Programming,1,Software,2.94,3.03,23,FALSE,25000
2021,Male,21,2019,BCSE,Yes,Yes,Offline,Yes,Yes,Intermediate,No,No,No,In a relationship,Yes,Family,No,No,Excellent,3,8.5,2,1,100,Programming,3,Software,3.93,3.95,25,FALSE,50000
2021,Male,21,2019,BCSE,Yes,Yes,Online,Yes,Yes,Intermediate,No,No,No,Single,Yes,Family,Yes,No,Average,3,1,1,2,85,Programming,2,Data Science,3.86,3.84,24,FALSE,50000
2022,Male,20,2020,BCSE,No,Yes,Offline,Yes,Yes,Intermediate,Yes,No,No,Single,No,Family,No,No,Average,3,4,2,2,100,Programming,1,Data Science,2.93,2.84,26,FALSE,30000
2021,Male,20,2020,BCSE,Yes,No,Online,Yes,Yes,Intermediate,No,No,Yes,Single,No,Bachelor,No,No,Average,4,7.5,2,1,80,Programming,2,Software,3.06,3.08,36,FALSE,6500
2020,Female,21,2018,BCSE,Yes,Yes,Offline,Yes,Yes,Intermediate,No,No,Yes,Single,No,Family,No,No,Excellent,8,3.347529813,0,3,100,Programming,4,Software,3.92,3.94,60,FALSE,50000
2021,Male,21,2019,BCSE,No,Yes,Offline,Yes,Yes,Intermediate,No,No,No,Single,Yes,Family,No,No,Good,3,2,1,2,98,"Programming, Web development",1,Software,3.17,3.53,25,FALSE,30000
2022,Female,20,2020,BCSE,Yes,Yes,Offline,Yes,Yes,Basic,No,No,No,Single,No,Family,No,No,Good,2022,2,2,3,95,Programming,1,Software,3.63,3.39,11,FALSE,35000
2021,Male,20,2020,BCSE,Yes,No,Offline,Yes,Yes,Intermediate,No,No,Yes,Single,No,Family,No,No,Excellent,3,8,2,2,98,Programming,2,Data Science,3.98,3.86,23,FALSE,20000
2021,Female,21,2020,BCSE,No,Yes,Offline,Yes,No,Intermediate,Yes,No,Yes,Single,Yes,Family,No,No,Average,4,6,1,2,97,Programming,3,Software,3.39,2.8,20,FALSE,40000
2021,Female,18,2020,BCSE,Yes,No,Online,Yes,No,Intermediate,No,No,No,Engaged,No,Bachelor,Yes,No,Good,2,2,2,3,90,Programming,2,Software,3.68,3.39,11,FALSE,40000
2022,Male,21,2019,BCSE,Yes,No,Offline,Yes,Yes,Basic,Yes,No,Yes,Single,Yes,Bachelor,No,No,Good,2,5,3,4,90,Programming,3,Software,3.83,3.83,11,FALSE,20000
2020,Male,22,2019,BCSE,No,No,Offline,Yes,Yes,Intermediate,No,No,Yes,Single,No,Bachelor,No,No,Good,8,3,1,4,100,Programming,2,Machine Learning / Deep Learning,3.64,3.74,87,FALSE,50000
2021,Male,20,2020,BCSE,Yes,Yes,Offline,Yes,Yes,Intermediate,No,No,Yes,Single,No,Family,No,No,Good,3,2,1,1,100,Programming,1,Cyber Security,2.96,3.38,25,FALSE,25000
2020,Male,22,2019,BCSE,No,Yes,Offline,Yes,Yes,Intermediate,Yes,No,Yes,Single,Yes,Bachelor,No,No,Poor,6,3,2,1,100,Programming,2,Networking,2.25,3.39,60,FALSE,20000
2020,Male,19,2020,BCSE,Yes,No,Offline,Yes,Yes,Intermediate,No,No,No,Single,Yes,Bachelor,Yes,No,Excellent,2,5,2,2,100,Programming,2,Data Science,3.8,3.8,11,FALSE,20000
2021,Female,20,2018,BCSE,Yes,Yes,Online,Yes,Yes,Intermediate,No,No,Yes,Single,No,Family,No,No,Average,3,1,2,5,90,Programming,1,Software,3.49,3.5,23,FALSE,30000
2021,Male,21,2021,BCSE,Yes,Yes,Offline,Yes,Yes,Intermediate,No,No,No,Single,No,Family,No,No,Poor,3,2.5,1.5,2,60,Programming,1,Artificial Intelligence,2.11,3,26,TRUE,50000
2021,Male,20,2020,BCSE,Yes,No,Offline,Yes,Yes,Intermediate,Yes,Yes,Yes,Single,No,Family,No,No,Good,2,2.5,1.5,3,99,Programming,2,Networking,3.42,3.42,11,FALSE,20000
2020,Female,23,2019,BCSE,Yes,No,Offline,Yes,Yes,Intermediate,No,No,Yes,Engaged,Yes,Bachelor,Yes,No,Poor,8,5,2,6,99,Basic knowledge of,2,Networking,3.96,3.93,76,TRUE,12500
2018,Male,23,2017,BCSE,No,Yes,Offline,Yes,Yes,Intermediate,Yes,No,Yes,Single,No,Bachelor,No,No,Average,12,7,3,2,90,Web development skill(Frontend),4,Software,2.86,3.26,125,FALSE,15000
2022,Male,21,2020,BCSE,No,No,Offline,Yes,No,Basic,Yes,No,Yes,Single,No,Bachelor,No,No,Poor,2,5,3,4,60,Programming,1,Software,0.5,0,2,FALSE,5000
2022,Female,20,2020,BCSE,No,No,Offline,Yes,Yes,Intermediate,No,No,Yes,Single,No,Family,No,No,Good,8,5,2,3,95,Programming,1,Software,3.5,3.5,11,FALSE,20000
2022,Male,20,2020,BCSE,Yes,No,Offline,Yes,Yes,Basic,No,No,No,Single,No,Family,No,No,Poor,2,1,2,2,95,Programming,2,Software,2.52,0,12,FALSE,50000
2021,Male,21,2019,BCSE,No,Yes,Offline,Yes,Yes,Intermediate,No,No,No,Single,No,Family,No,No,Good,3,4.5,1.5,2,98,Programming,3,Web Development,3.72,3.71,25,FALSE,60000
2019,Female,22,2018,BCSE,Yes,No,Online,Yes,Yes,Intermediate,No,No,Yes,In a relationship,Yes,Family,No,No,Average,11,5,2,2,95,System analysis,1,Hardware,2.8,3.35,120,FALSE,68000
2020,Female,21,2019,BCSE,Yes,No,Offline,Yes,Yes,Intermediate,No,No,Yes,Single,No,Family,No,No,Excellent,6,3.5,2,2,99,Programming,1,Software,3.98,3.99,58,FALSE,40000
2021,Male,20,2019,BCSE,No,No,Offline,Yes,Yes,Intermediate,No,No,No,Single,No,Bachelor,Yes,No,Good,3,4.5,2,3,100,Programming,2,Data Science,3.68,3.61,24,FALSE,40000
2021,Male,21,2019,BCSE,Yes,No,Offline,Yes,Yes,Intermediate,No,No,No,Single,No,Family,Yes,No,Average,3,1,1,5,90,Programming,1,Software,3.03,2.94,25,FALSE,50000
2019,Female,22,2017,BCSE,No,No,Offline,Yes,Yes,Intermediate,No,No,Yes,Single,No,Family,Yes,No,Average,11,3,2,4,95,Web development skill(Frontend),1,Machine Learning / Deep Learning,3.34,3.18,120,FALSE,40000
2021,Female,21,2020,BCSE,Yes,Yes,Offline,Yes,Yes,Basic,No,No,Yes,Single,Yes,Family,No,No,Good,2,8,2,2,100,Software Development skill,1,Software,3.39,3.39,12,FALSE,50000
2019,Female,23,2018,BCSE,No,Yes,Offline,Yes,Yes,Intermediate,No,No,Yes,Single,No,Family,No,No,Good,11,3.5,2,3,100,Web development skill(Frontend),1,Networking,3.78,3.55,141,FALSE,16500
2019,Male,24,2019,BCSE,No,Yes,Offline,Yes,Yes,Basic,Yes,No,Yes,Single,No,Family,No,No,Poor,5,2,2,8,100,Programming,5,Creating a game using a program language ,1.05,2.97,42,FALSE,25000
2021,Female,20,2020,BCSE,No,No,Offline,Yes,Yes,Basic,Yes,No,No,Single,No,Bachelor,No,No,Poor,3,2.5,2,4,85,Programming,2,Networking,2.06,2.2,23,FALSE,25000
2022,Female,20,2020,BCSE,Yes,No,Offline,Yes,Yes,Basic,No,No,No,Single,No,Family,No,No,Good,2,3,1,3,95,Programming,2,Artificial Intelligence,3.67,3.39,11,FALSE,45000
2021,Female,19,2020,BCSE,No,Yes,Offline,Yes,Yes,Intermediate,No,No,No,Single,Yes,Family,No,No,Poor,2,5,8,3,100,Programming,3,Artificial Intelligence,3.78,0,11,FALSE,40000
2020,Female,20,2019,BCSE,Yes,No,Online,Yes,Yes,Intermediate,Yes,No,No,In a relationship,Yes,Family,Yes,No,Poor,2022,1,2,1,100,No skills,2,Machine Learning / Deep Learning,1.63,2.61,79,FALSE,60000
2021,Male,21,2020,BCSE,Yes,No,Offline,Yes,Yes,Basic,No,No,Yes,Single,Yes,Bachelor,No,No,Poor,3,2,1,6,70,Programming,2,UI/UX,3.17,3.39,22,FALSE,40000
2021,Female,20,2019,BCSE,No,Yes,Offline,Yes,Yes,Intermediate,No,No,No,Single,No,Family,Yes,No,Excellent,3,3,1,2,100,Memorizing,2,Data Science,3.82,3.91,23,FALSE,100000
2022,Male,22,2020,BCSE,No,No,Offline,Yes,No,Basic,No,No,Yes,Single,No,Bachelor,No,No,Poor,2,2,2,4,100,Nothing,2,Data Science,2.55,2.55,11,FALSE,40000
2021,Male,22,2019,BCSE,Yes,Yes,Online,Yes,Yes,Intermediate,No,No,Yes,Single,No,Family,No,No,Good,3,2,2,2,92,Programming,1,Software,3.79,3.89,23,FALSE,35000
2022,Male,20,2020,BCSE,Yes,No,Offline,Yes,No,Basic,No,No,No,In a relationship,Yes,Bachelor,No,No,Good,1,2,1,3,99,Programming,0,Data Science,5,4,10,FALSE,20000
2019,Female,23,2017,BCSE,No,Yes,Offline,Yes,Yes,Intermediate,No,No,Yes,Single,No,Bachelor,No,No,Good,11,4,2,2,85,Web development skill(Frontend),2,Machine Learning / Deep Learning,3.76,3.62,120,FALSE,33000
2020,Male,21,2019,BCSE,Yes,No,Offline,Yes,Yes,Basic,No,No,Yes,Single,Yes,Bachelor,Yes,No,Good,8,5,2,4,100,"Programming, Web development",2,Machine Learning / Deep Learning,3.74,3.91,88,FALSE,15000
2022,Male,20,2019,BCSE,Yes,Yes,Offline,Yes,Yes,Basic,Yes,No,Yes,Single,Yes,Bachelor,No,No,Good,22,2,1,0.5,99,"Programming, Software Development",2,Networking,5,3.39,13,FALSE,20000
2021,Female,21,2020,BCSE,Yes,No,Offline,Yes,Yes,Intermediate,No,No,No,Single,No,Family,No,No,Good,3,2.5,2.5,4,100,Programming,1,Software,3.38,3.2,23,FALSE,47000
2020,Male,22,2018,BCSE,No,No,Offline,Yes,No,Intermediate,No,No,Yes,Single,No,Bachelor,No,No,Excellent,8,5,2,3,90,"Web development skill(Backend),",3,Data Science,3.98,3.97,58,FALSE,70000
2022,Male,22,2015,BCSE,Yes,No,Online,Yes,Yes,Basic,Yes,No,Yes,Single,Yes,Bachelor,Yes,No,Poor,2,2,2,1,95,Programming,2,Networking,2.1,2.1,14,FALSE,25000
2020,Female,21,2019,BCSE,Yes,No,Offline,Yes,Yes,Intermediate,Yes,No,No,Single,Yes,Bachelor,No,No,Poor,8,3,1,5,80,Web development skill(Frontend),1,Data Science,2.72,2.25,62,FALSE,60000
2021,Female,22,2020,BCSE,Yes,Yes,Offline,No,Yes,Advance,No,No,Yes,Single,No,Family,Yes,Yes,Good,3,3.5,1,3,98,Cyber security,3,Artificial Intelligence,3.3,3.39,23,FALSE,50000
2021,Male,21,2020,BCSE,Yes,No,Offline,Yes,Yes,Advance,No,No,Yes,Single,No,Bachelor,No,No,Good,3,4,2,2,100,Programming,2,Software,4,3.72,23,FALSE,30000
2022,Male,20,2019,BCSE,No,No,Offline,Yes,Yes,Basic,No,Yes,Yes,Single,No,Bachelor,No,No,Average,2,2,2,3,90,Networking,2,Networking,3.1,3.1,12,FALSE,20000
2021,Female,20,2019,BCSE,Yes,No,Offline,Yes,Yes,Advance,Yes,No,Yes,Single,No,Bachelor,No,No,Poor,3,1.5,1,3,90,Programming,1,Software,2.56,2.01,23,FALSE,35000
2020,Female,20,2020,BCSE,Yes,Yes,Offline,Yes,Yes,Intermediate,No,No,No,Engaged,Yes,Bachelor,Yes,No,Poor,2,2.5,3.5,12,80,Photography & videography,1,Data Science,3.21,3.21,12,FALSE,30000
2022,Male,19,2020,BCSE,No,No,Offline,Yes,No,Intermediate,Yes,No,Yes,Single,Yes,Family,Yes,No,Average,8,4,2,2,75,Programming,1,Software,3.38,3.38,14,FALSE,15000
2022,Male,21,2020,BCSE,No,No,Offline,Yes,Yes,Basic,Yes,No,Yes,Single,Yes,Bachelor,No,No,Average,2,1,2,4,95,Programming,1,Networking,3.9,3.9,11,FALSE,30000
2022,Male,20,2020,BCSE,Yes,Yes,Offline,Yes,Yes,Intermediate,No,No,Yes,Single,No,Family,No,No,Good,2,2,1,1,98,Programming,1,Networking,3.95,3.95,12,FALSE,50000
